package	version	cell	expect	exit	last_line	result
hackmyagent	0.33.2	G1	ok	0	Verified OK	PASS
hackmyagent	0.18.2	G2	ok	0	Verified OK	PASS
hackmyagent	0.18.3	G2	ok	0	Verified OK	PASS
hackmyagent	0.19.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.20.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.21.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.21.1	G2	ok	0	Verified OK	PASS
hackmyagent	0.22.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.22.1	G2	ok	0	Verified OK	PASS
hackmyagent	0.22.2	G2	ok	0	Verified OK	PASS
hackmyagent	0.22.3	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.1	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.2	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.3	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.4	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.6	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.7	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.8	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.9	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.10	G2	ok	0	Verified OK	PASS
hackmyagent	0.23.11	G2	ok	0	Verified OK	PASS
hackmyagent	0.24.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.25.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.25.1	G2	ok	0	Verified OK	PASS
hackmyagent	0.25.2	G2	ok	0	Verified OK	PASS
hackmyagent	0.26.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.26.1	G2	ok	0	Verified OK	PASS
hackmyagent	0.27.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.28.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.29.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.30.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.31.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.32.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.33.0	G2	ok	0	Verified OK	PASS
hackmyagent	0.33.2	G2	ok	0	Verified OK	PASS
hackmyagent	0.33.2	T	fail:provided artifact digest does not match	1	error during command execution: failed to verify signature: provided artifact digest does not match any digest in statement	PASS
hackmyagent	0.33.2	I	fail:no matching CertificateIdentity	1	error during command execution: failed to verify certificate identity: no matching CertificateIdentity found, last error: expected SAN value "https://github.com	PASS
hackmyagent	0.33.2	C	fail:tarball check failed	1	tarball check failed: expected hackmyagent@0.33.2	PASS
hackmyagent	0.17.11	U	fail:curl:	56	curl: (56) The requested URL returned error: 404	PASS
secretless-ai	0.23.0	G1	ok	0	Verified OK	PASS
secretless-ai	0.15.1	G2	ok	0	Verified OK	PASS
secretless-ai	0.16.1	G2	ok	0	Verified OK	PASS
secretless-ai	0.16.2	G2	ok	0	Verified OK	PASS
secretless-ai	0.16.3	G2	ok	0	Verified OK	PASS
